week,brand,post_count,pos_count,neg_count,neu_count
2025-10-12,Chobani,1,0,0,1
2025-10-12,Lifeway,1,0,0,1
2025-10-26,Chobani,1,0,0,1
2025-10-26,Lifeway,1,0,0,1
2025-11-02,Fage,1,0,0,1
2025-11-16,Chobani,2,0,0,2
2025-11-23,Chobani,1,0,0,1
2025-12-07,Lifeway,1,0,0,1
2025-12-14,Lifeway,1,0,0,1
2025-12-21,Chobani,2,1,0,1
2025-12-21,Lifeway,3,2,0,1
2025-12-28,Lifeway,2,0,0,2
2026-01-11,Chobani,2,1,0,1
2026-01-11,Fage,1,0,0,1
2026-01-25,Chobani,2,0,1,1
2026-02-01,Fage,2,0,0,2
2026-02-01,Lifeway,2,2,0,0
2026-02-08,Chobani,1,0,0,1
2026-03-15,Lifeway,2,2,0,0
2026-03-22,Chobani,1,0,0,1
2026-03-29,Chobani,1,0,1,0
2026-04-05,Lifeway,1,0,0,1
2026-04-12,Chobani,1,1,0,0
2026-04-19,Chobani,2,1,0,1
2026-04-26,Lifeway,1,1,0,0
2026-05-03,Chobani,1,1,0,0
2026-05-03,Lifeway,1,1,0,0
2026-05-10,Chobani,1,0,0,1
2026-06-07,Chobani,2,0,0,2
